#OTU ID	201411_Is1	201411_Is2	201411_Is3	201411_Is_SW	201411_Mi1	201411_Mi2	201411_Mi3	201411_Mi_SW	201502_Is2	201502_Is3	201502_Is_SW	201502_Mi1	201502_Mi2	201502_Mi3	201502_Mi_SW	201505_Is1	201505_Is2	201505_Is3	201505_Is_SW	201505_Mi1	201505_Mi2	201505_Mi3	201505_Mi_SW	201508_Is1	201508_Is2	201508_Is3	201508_Is_SW	201508_Mi1	201508_Mi2	201508_Mi3	201508_Mi_SW	201508_Out_SW	201511_Is1	201511_Is2	201511_Is3	201511_Is_SW	201511_Mi1	201511_Mi2	201511_Mi3	201511_Mi_SW	201511_Out_SW
OTU165	0	0	0	61	0	0	0	32	0	0	0	0	0	0	3	0	0	0	56	0	0	0	37	0	0	0	38	0	0	0	45	48	0	0	0	8	0	0	0	16	30
OTU601	0	0	0	62	0	0	0	57	0	0	3	0	0	0	6	0	0	0	66	0	0	0	80	0	0	0	56	0	0	0	97	217	0	0	0	148	0	0	0	311	177
OTU58	0	0	0	209	0	0	0	71	0	0	9	0	0	0	78	0	0	0	16	0	0	0	80	0	0	0	69	0	0	0	329	46	0	0	0	418	0	0	0	62	13
OTU39	0	0	0	817	0	1	0	433	0	0	1643	0	0	0	2116	0	0	0	860	0	0	0	572	1	0	0	335	1	0	1	612	478	0	0	0	357	0	0	1	266	372
OTU150	0	0	0	281	0	0	0	185	0	0	63	0	0	0	233	0	0	0	113	0	0	0	82	4	0	0	53	0	0	0	94	68	0	1	0	64	0	0	14	79	90
OTU471	0	0	0	35	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	7
OTU145	0	0	0	44	0	0	0	9	0	0	30	0	0	0	48	0	0	0	78	0	0	0	58	0	0	0	10	0	0	0	23	22	0	0	0	4	0	0	1	2	0
OTU155	0	0	0	110	0	0	0	144	0	0	37	0	0	0	75	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	14	0	0	2	28	85
OTU74	0	0	0	514	0	0	0	242	0	0	39	0	0	0	51	3	0	0	327	0	0	0	242	0	0	0	182	0	0	0	255	211	0	0	0	228	0	0	0	143	253
OTU522	0	0	0	155	0	0	0	126	0	0	56	0	0	0	135	0	0	0	73	0	0	0	78	23	0	0	38	0	1	0	65	53	0	0	0	54	0	0	13	62	75
OTU546	0	0	0	97	0	0	0	28	0	0	20	0	0	0	25	0	0	0	70	0	0	0	68	0	0	0	22	0	0	0	34	28	0	0	0	26	0	0	0	0	3
